id,tweet,prediction
b'188,USER_MENTION and USER_MENTION get your fat asses on here,0
b'189,USER_MENTION see three external monitors on one laptop URL win7rc x x,1
b"190,USER_MENTION if youre cool or if youre not cool maybe ill send some cool URL,1
b"191,USER_MENTION you want to start the morning later in new york we can do that californians have it even,1
b'192,USER_MENTION URL lol luv it URL did any1 find or c a URL,1
b'193,USER_MENTION is making fettucini and garlic,1
b'194,USER_MENTION tell USER_MENTION i said happy bday,1
b'195,USER_MENTION USER_MENTION i went to work once last year with no pants ironically that was my last day of work at that job fml,1
b'196,USER_MENTION told you you would sweep haha,1
b'197,USER_MENTION there r many gr8 science cartoons URL URL URL URL,1
b"198,USER_MENTION edinburgh fringe is only weeks away i need monies btw im elliott from USER_MENTION blame USER_MENTION for the twitter,0
b'199,USER_MENTION why didnt you come to school have you done the short stack thing by yourself or do you still need,1
b'200,USER_MENTION which one URL URL or URL latter for the us store only iphone,1
b"201,USER_MENTION magic thinking less than chance hedo stays in orlando hes gonna go for the they all do cant blame him,1
b'202,USER_MENTION now who wud make this beautiful plc,1
b'203,USER_MENTION USER_MENTION it is now the outer fat,0
b'204,USER_MENTION the servers are now backup if you experience any more problems then please let me know sorry about the delay,0
b'205,USER_MENTION i am lol luv this USER_MENTION are like a gentle breeze that has blown throug URL,1
b'206,USER_MENTION se morrea a mi joseph no no se,1
b'207,USER_MENTION USER_MENTION are my future roomies nyc,1
b'208,USER_MENTION i hope u have cheese burgers USER_MENTION,1
b'209,USER_MENTION,1
b'210,USER_MENTION i am nothing of the kind and everything of the sort URL,1
b"211,USER_MENTION pick up some flowers for the teacher im jealous i want flowers without having to be in the hospital to get them,0
b"212,USER_MENTION think again talvez seja do na cifra mas is a chain its as strong as the weakest link,1
b'213,USER_MENTION why is your youtube account suspended lol single ladies dance i need to watch it,1
b'214,USER_MENTION i know sold out though,1
b'215,USER_MENTION watch e3 USER_MENTION will do,1
b"216,USER_MENTION thanks k heres hoping pretty nervous though,1
b'217,USER_MENTION should get on aim and talk to me i miss,0
b'218,USER_MENTION followers URL,1
b'219,USER_MENTION tell ya grocery store it was better when you blasted the oldies sugar ray does not make me URL,1
b"220,USER_MENTION kashrut convo makes me want to keep more kosher but my roomies catholic he has a pork loin in the fridge,1
b"221,USER_MENTION isnt home neither is USER_MENTION USER_MENTION u better have,1
b'222,USER_MENTION yall bitches better wake up early to go to the la opera,1
b'223,USER_MENTION immune to drills etc now it just bother me at all having gum lift surgery next week tho,0
b'224,USER_MENTION where r u tonite im still,1
b'225,USER_MENTION hates bebot,0
b'226,USER_MENTION USER_MENTION congrats bhai but like the oldies in used to say arre bhai kuch kam ka URL,1
b'227,USER_MENTION,1
b'228,USER_MENTION chilling on twitter via my spanking new blackberry unlimited internet URL,1
b'229,USER_MENTION so do you give him every inch of your love every,1
b'230,USER_MENTION USER_MENTION,1
b"231,USER_MENTION maybe you can pop USER_MENTION a tweet they are quite active on twitter,1
b'232,USER_MENTION a shame all the women in mamma mia are so horny since all the men on this island are so URL,0
b"233,USER_MENTION thanks for letting me know im going to check out eureka later with this knowledge,1
b'234,USER_MENTION what are u referring,1
b'235,USER_MENTION,1
b'236,USER_MENTION up USER_MENTION hey you USER_MENTION doing ok thx you USER_MENTION you too ttyl USER_MENTION oh sowwy,1
b'237,USER_MENTION happy mothers,1
b'238,USER_MENTION i knew sharepoint was written by interns i just knew it,1
b'239,i miss her so much already,0
b'240,just practising how i feel,1
b'241,miss my love,1
b'242,fuck,0
b'243,my head feels like a bowling,1
b'244,my heart hurts badly,0
b'245,fs keeps crashing when i try to load bungie,0
b'246,my current headset is on its deathbed now my dad gave it to me just weeks back,1
b'247,my mood is currently blah sitting in a parking,0
b'248,i am happy,1
b'249,that is,1
b'250,everyone went home and not everyone was even here,1
b'251,fed up,1
b'252,fuck fuck,0
b'253,not feeling it today and to make matters worst its super nasty and rainy outside,0
b'254,USER_MENTION,1
b'255,awwh i wanted aiden davis win i him so bummed he didnt,1
b'256,bed time now,1
b'257,faltam dias para o world drawing,1
b'258,friends like these no thanks not fake,1
b'259,haha omg stayin steezy mowin the lawn loviie still here goiing tanning,1
b'260,i think my bf is cheating on me,0
b"261,i wanna play with my camera but i will settle for playing with ivs and heart,1
b'262,i want an octo,1
b'263,i want to display my pretty voltron upside i get two pretty,1
b"264,i want to find a way to put my photos on phone here i have bluetooth in both phone and computer but it doesnt,1
b'265,in an effort to bring you the best content we just added at lease hours to the release of the digital rapture soon hang,1
b'266,is our response to what happened today and that is,1
b'267,j you are right it,1
b'268,kinda but not really but kinda,1
b'269,have a moment of silence for our childhood homes sadly it be replaced and we can never go,0
b'270,lol all these robotpickuplines are hilarious,1
b'271,man oh man i should punch myself in the head but im ok with,1
b'272,my friends can get with ur friends and we can all b friends shit we could do this every weeknd aiigght with coop n the,0
b'273,no man is worth your tears and the one that is make you,1
b'274,rain rain go,1
b'275,storms are,1
b'276,such a beautiful satisfying day of bargain shopping loves,1
b'277,tell those girls your clocking out,1
b'278,thank god today is friday i love ti ti,1
b'279,the batt to my internet connection died guess its back to the,0
b'280,thrilled about being at work this morning,1
b'281,we break dance not hearts by short stack is my ringtone i love that song,1
b'282,URL now has it for the,1
b'283,squarespace trackle no apple iphone card for us maybe tomorrow i guess it helps if you tweet it huh we forgot,1
b'284,unsure hassle EMO_POS music URL,0
b'285,,1
b'286,i want some cake batter please,1
b'287,my life is very lazzyy,1
b'288,wish ella was on or,1
b'289,ish in a good mood tlk to,1
b"290,i think im going to go a long drive then when i get to the pacific ocean open my car door and throw my pc in the,1
b'291,what the hell,0
b'292,,1
b'293,i dont like this weekend huhuhu,1
b"294,ill get on it right,1
b'295,j a made nice twice for now,1
b'296,loves life atm its brilliant,1
b'297,who else is in a happy mood,1
b'298,bye everyone,1
b'299,lonely,0
b'300,blue does not work,1
b"301,geez im feeling their,1
b'302,i miss my summertime,0
b'303,on the computer lol no fuckin goin to portugal,1
b'304,so far so,1
b'305,today was a great,1
b'306,,1
b'307,,1
b'308,a lot a lot a lot a lot a lot a lot a lot a lot a lot a lot a lot a,1
b'309,awwh i wanted aiden davis win i him so bummed he didnt,1
b'310,curtain drops at the crown uptown after ye URL,1
b'311,eh must leave new mexico and,1
b'312,fail maths i knew it i was just too slow,1
b'313,from gongwer oh report sounds like leadership still considering library cuts not considering tax increases,1
b'314,fuck sake why can things never work out for,1
b'315,going in town with cousinn netball match was cancelledd,1
b'316,hoping to see my baby,1
b"317,i dont even,1
b'318,i just lost a member of my family,0
b"319,im sick of bedtime battles,0
b"320,im so cold this morning i have chills all over,0
b'321,just,1
b'322,no no no tonight goes on the books as the worst sytycd results,0
b'323,no shopping,1
b'324,poor lil mousey just out enjoying the sunny day i think feel so bad if it was a big gnarly rat though dbl standard,0
b"325,thats an epic sad,0
b"326,this magazine story just broke my heart at the dentists office today URL,0
b'327,tiger woods is up by via URL,1
b"328,wanna go meet wifey but cant this sux EMO_NEG,1
b"329,wondering why i feel like i do ill feel better though its all good ill be happy inspite of tweet ya lata,1
b'330,yippee yay lets gather in the hay his love found gonna stay added the holy way all his,1
b'331,iranelection no one realizes how deep this,1
b'332,bodies from air france crash have been found URL via USER_MENTION,0
b'333,that is the story of my life a whole bunch of,1
b'334,i have noo friends on twitter it makes me sad will someone follow me,0
b"335,i just want to hear from you i guess thats asking too much,1
b'336,hardest working chica i know mii boss lady USER_MENTION look up to her seriously,1
b"337,i really2 dont like this condition,1
b'338,orlando lost the series oh well maybe phoenix or boston or cleveland the teams i like will make it next,1
b'339,rinitis,1
b'340,thanks for being the bestt,1
b"341,im mad and sad right now played so terrible today in both soccer and,0
b'342,but mustache man is not that,1
b"343,my face because im missing zoro,1
b'344,USER_MENTION i know huh USER_MENTION im bout to cryUSER_MENTION thanks marco,1
b'345,,1
b'346,praise god for this beautiful day,1
b'347,sry matt hear that,1
b'348,what the,1
b'349,bye,1
b'350,i couldnt even have one fairytale,1
b"351,ill be working when come near me,0
b'352,my cell phone screen is dead soo no texts and i know calling,0
b'353,no more sickness strike i say strike ohh well day off school i,0
b"354,nobody likes year one in the reviews ive read im disappointed but maybe now ill like it more since im not expecting much,1
b'355,must i say,1
b"356,mes dead and,0
b'357,have to go now more minutes please please,1
b'358,USER_MENTION i love you guyss those rings mmyeahh bling,1
b'359,USER_MENTION chance is boo,1
b'360,USER_MENTION thank you very much for the dvd suggestion very nice of you looks,1
b'361,aww i really hate,0
b'362,bad,0
b'363,bad day damn you USER_MENTION what kind of ticket sale was that,0
b'364,boston globe could be shut down in days URL,1
b"365,bye guys ima miss yall soo soo much but dont worry ill be back on monday have an awesome weekend,0
b"366,can i have some followers im so sad now that im losing hope,0
b"367,couldnt blessd da mic my bras in music USER_MENTION USER_MENTION USER_MENTION,1
b'368,cry cry cry,0
b'369,day,1
b'370,goodnight,1
b'371,grandma is very sick not doing well going to the emergency,0
b'372,had a wonderful day g_d is grreat,1
b'373,i am going to shed tears if the cavs have to go home tonight like,1
b"374,i am soo sad at this point of night id be cuddling with jonathan like i did for,1
b'375,i hate you,0
b'376,i have passed exam today,1
b'377,i missed,0
b'378,i still feel like a,1
b'379,i want to write a song i think i,1
b"380,USER_MENTION always thought time estimates should use value of pi rule x only exception being pi squared rule,1
b'381,USER_MENTION creativity via twitter URL,1
b'382,USER_MENTION you tease i wanna hear the tracks,0
b"383,USER_MENTION never answering my,1
b'384,USER_MENTION URL traveltips student safety in,1
b"385,USER_MENTION its now fathers day and you havent picked me yet i kind of want to incessantly bother you,0
b"386,USER_MENTION what is,1
b"387,USER_MENTION love blip.fm john mayer trio california dreamin as heard on conan URL,1
b'388,USER_MENTION just in case you need some help w that URL,1
b"389,USER_MENTION im sure hed love that,1
b"390,USER_MENTION on s twitter lol heart the first pic URL,1
b"391,USER_MENTION is no longer in the cab to say im heartbroken is an understatement good luck with everything youre amazing,1
b'392,USER_MENTION broke my twitter,0
b"393,USER_MENTION is off clubbing must come over to sheffield sometime party but really probably shouldnt atm a tech conference is a conf,1
b'394,USER_MENTION my avatar figure out what you people are either URL,1
b"395,USER_MENTION is fulfilling my lifes ambition go a jonas brothers concert i went hmv and the new album is already sold out why,1
b'396,USER_MENTION what happened to movies anyway like hollywood forgot in rough times the public wants to see URL,1
b'397,USER_MENTION just yelled at me for picking apple store over,1
b'398,USER_MENTION credit is due to URL,1
b'399,how not to exit a cessna skydiving URL,1
b'400,of me cats kittens died only days old too rip,0
b"401,week before the palm pre comes out and my centro dies i have a temp phone but my contacts arent transfered yet sadpanda,0
b'402,chicken mcnuggets double cheeseburgers large fries and a lemonade for dinner why you may ask because i hate my body,0
b'403,hrs on da phone lol dude is,1
b'404,tweet breakfast everything bagel toasted cheese with an iced cap delish,1
b'405,gb of video to upload to utube o dam sony vegas making it so big,1
b'406,of the new footwear labeling norm is definitions that are never referred to in the document who wrote this,1
b'407,a big angry spider was crawling in my blankeys i flicked it to the floor and cant sleep,0
b'408,a blessed sunday,1
b'409,a couple years of sickness all piled up to this one,0
b'410,a dog riding the bicycle URL,1
b'411,a fly just landed in my green chile stew never been big on killing bugs but this asshole asked for it there goes my,0
b'412,a problem shared is a buck,0
b'413,a_ just got the same handshake in her meeting vibe here,1
b'414,,1
b'415,a tweet,1
b'416,alice is beating be at my scooby doo board,1
b"417,am quite tired cant wait till wwe at burswood,0
b'418,anyone have any advice on how to cope with a break,0
b'419,arrgghh it all lines of communications are temporarily suspended,1
b'420,awake and ready for the,1
b'421,being nasty in the studio with my woman go,0
b'422,but i,1
b'423,cars being inspected today gonna cost me over dollars,1
b'424,e is,1
b'425,everythings,1
b'426,exercise build muscle mass is only thing that speeds metabolism URL,1
b'427,feeling ok for the first time in a few days thank,1
b'428,found a new way to text him,1
b'429,friends dying is just,0
b'430,going for a paddle,1
b'431,good nite i hope grandma visits my dreams again tonight last night was uplifting i miss,1
b'432,goodbassplayer that is funny EMO_POS oilipo i hope the people that will bring us good things are started early this week,1
b'433,he was the best,1
b'434,hungover and craving chocolate omg how funny was the pub last night,1
b'435,i dont want my sister to leave me for the whole,1
b'436,i hope everyone is at church so i can just go to my concert in peace on wed dont have to worry about rushing back to church to,1
b'437,i just spilt the last of my jordans cereal on the floor distraught URL,0
b'438,i miss my family and,0
b'439,i see i missed the nectar sucking dirty talk EMO_POS,0
b'440,i want a freaking puppy now a cute little black yorkshire,1
b'441,i want irissa back URL,1
b"442,im glad diversity got through but what about stavros,1
b"443,im here to tell ya very yummy decided to go on a hunt for blender drinks know any good,1
b"444,im out of nutella,1
b"445,is it rlly tht serious im abt to go thru my fonebook,1
b'446,is listenin to my new fav band more,1
b'447,it is on environmental studies and driving me,1
b"448,ive always seen bits pieces of shottas now ive seen the whole movie it ends soo sad im gonna cry,0
b'449,just another day in paradise EMO_POS,1
b'450,just found a bone in my chicken nugget not,1
b'451,like i said my back still fucking hurts and going to complain about it like no business URL,0
b'452,love you,1
b'453,my aunties dog is getting put down hes my dogs brother aswell,1
b'454,my head feels like its going to explode mm what a horrendous image the,0
b'455,my head is killing,0
b'456,my name is amy only three my eyes are swollen i cannot see i must be stupid i must be bad what URL,0
b'457,my picture with kris karmada is gone forever its not in my comments on my mysapce or on my URL,1
b'458,missing air france flight has crashed in the URL,0
b'459,about of my myspace comments are gone cause someone hacked onto wills account and kept abusing others so he had to delete,1
b"460,about school it will all be over soon cant wait to celebrate stres till,1
b'461,about to pop in a movie chill a bit get it inn call n text,0
b'462,about to,1
b'463,abt missing air france plane follow here for best air news source URL,1
b'464,afi are not at reading til sunday this sucks,0
b'465,after a crap night was looking forward to being cheered up but no never,0
b"466,ah the postman didnt have my package what am i goon to do for the rest of the day,0
b'467,ahh school on monday not,1
b'468,ahh drizzy mr rogers you are indeed the,1
b'469,airport express rock enough to allow wireless scanning with the canon pixma mx310 but otherwise wireless,1
b'470,friends are all in the kitchen and in my pjs i just want a cup of tea,1
b'471,all day no,1
b'472,all dressed up and no bicyclist for monday nite ride n henderson ky URL,1
b"473,all i want is my ma in my arms thats all i want is you in my,1
b'474,all my friends are gone haley n katie camp paris moms landin n ayonna aunts n moms im so,1
b'475,all nighter yeesshh what a nightmare up coming weeks cannot wait to,0
b'476,all the small things,1
b'477,all those nonrobsten posts are making me sad i mean i knew that but to see it from others in words so,0
b'478,allison didnt win she should,1
b'479,almost time to,1
b'480,already getting sleepy i really want to get my psych quizzes done tonight,1
b"481,always a nice thing to wake up to yay p gosh im such a typical lame overanalyzing teenager lmao had a nice,1
b'482,am,1
b'483,am feelin very happy,1
b"484,am i feeding the,1
b'485,am i losing my mind cause i wanna see my.tc on tv right now this min fu2 i want candygirls not daisy dammit USER_MENTION,1
b"486,am sad to say i didnt get my results today somehow the school forgot to mail my results to me typical,0
b'487,an alarm clock is a device for waking up people who do not have small children,0
b'488,and how can you mend a broken heart URL,0
b"489,and i think thats why i felt really sick and depressed in school today cuz of all the stress im glad i got that off my chest,0
b'490,and i was just starting to get confident in myself you have torn me,1
b'491,home.sch,1
b'492,another mins,1
b'493,another early,1
b"494,another fathers day weekend i dont get to spend with my dad,1
b'495,another friday night of rock,1
b'496,anticipating a tough day,1
b'497,anyone know if ghostbusters is region free on and where to get a us copy in britain if it,1
b"498,d a million making a difference i cant help but to believe i came in believing i will leave believing god,1
b'499,,1
b"500,whats wrong wit,0
b"501,alergic nose itchy and eyes burning hope its getting better soon,0
b'502,and they keep on coming,1
b'503,another expensive weekend trip to the,0
b'504,are there any parties tonight im hella bored at home and its seems like everyone is busy,1
b'505,but chilli prawns will make the pain better,1
b"506,daughters beloved diabetic dwarf hamster died in her hands this morning all creatures are worthy of love,1
b'507,dd has pinkeye not,1
b'508,farrah fawcett dies of cancer at abc news URL via USER_MENTION,0
b'509,feeling hopeless and,0
b'510,forgot my lunch at,1
b'511,general motors sold hummer s,1
b'512,good morning all have a great,1
b'513,goodnight,1
b'514,good night must prepare for tomorrows meeting,1
b'515,great im bored at the moment and just have no idea on what to do missing boyfie too damn URL,0
b'516,having a luvly day URL,1
b'517,he is so hot,1
b'518,hmm what to,1
b"519,URL five guys locations closed after visit from rat patrol USER_MENTION,1
b'520,i am actually crying now because of sore,0
b'521,i feel irresponsible and sort of horrible marshmallows unless otherwise stated have gelatin fuck URL,0
b'522,i miss my brother i worry about,0
b'523,i need to think of something else first,1
b'524,i wanted julian to,1
b'525,iowa no in happy,1
b'526,jus got some bad,0
b'527,just got,1
b'528,just,1
b'529,just saw sink into me the whole video on kerrang ive seen it before loads but its so much better on,1
b"530,limp bizkit rollin,0
b'531,save the,1
b'532,my camera broke,0
b'533,my mom is the funniest person ever,1
b'534,my parents,1
b'535,nadal is out french open now to my backup go andy,1
b'536,no ass beatings checked out playhouse in baltimore this weekend as well feeling quite rested and a bit out of,1
b'537,nothing,0
b"538,ok well talk about your boyfriends and stuff tomorrow EMO_POS lmao and well talk for real soon too woo hehe ilysfm doodle,1
b'539,pie seems to have quite a good appetite,1
b'540,server problems motivating me to change hosting providers though,0
b'541,shakes,1
b'542,shock loss to sparks bummer USER_MENTION had a great game but shock too many injuries to start the season rematch,0
b"543,some asshole got a hold of my email and signed me up for all this spam mail ughh its non stop anyone have a spam,1
b'544,someone just said ast least your pretty thanks but but being pretty gets you nowhere you have to much integrity,1
b"545,myspace people can get really angry if i dont answer them right away,1
b'546,never get any photo comments on m space and,1
b'547,nhl penguins red wings final red wings lead series for stats stars and more visit URL,1
b'548,no tickets in germany for the miley cyrus tour,1
b'549,photo shoot rained out oh well back to,1
b'550,r.i.p young teke i miss you cuzin it has been year sence you died be ashamed of your,0
b'551,rip charles j the world is with one less fine,1
b"552,rsl was at the paley talk now im even more depressed i couldnt get a ticket oh wells,0
b'553,she is amazing bjork bachelorette URL,1
b'554,so,1
b'555,so much for a good,1
b'556,thank you USER_MENTION,1
b"557,the hotel doesnt know where it is either that was my favorite how poopie is,1
b'558,thelovelybones i plan on owning this judge me URL,1
b'559,this year million children from hungerrelated causes URL,1
b'560,ticketsandpassports your not a nerd i think its cool when guys like anime URL,1
b'561,to all the mothers whose day may not be so happy god loves you tlc waterfalls URL,1
b"562,today is not a good day but i guess laying around the house in your undies isnt so,1
b'563,went to bday party came home without my phone i feel lost and reaally confused but thats just the booze,0
b'564,when will rb2 get an australian release,1
b'565,my grandma just told me she thinks stupid well hey thanks,1
b'566,,1
b'567,,1
b'568,betseyjohnson why are you doing this to me this necklace is rather than the usual i want it URL,1
b'569,followfriday USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION,1
b'570,imisscath imisscath imisscath imisscath imisscath imisscath imisscath imisscath imisscath imisscath imisscath,1
b'571,mcflyforgermany mcflyforgermany mcflyforgermany mcflyforgermany mcflyforgermany mcflyforgermany mcflyforgermany,1
b'572,p1wimax no signal detected here at the,1
b'573,,1
b"574,that was then this is,1
b'575,this pic if u want more tell me cause i got more URL,1
